# Labelled filename corpus — research item R8 (docs/10 §2).
#
# The accuracy benchmark for the parser. Every row is a naming convention that occurs in real
# libraries; every failure is a class of silently mismatched files.
#
# Format, tab-separated:
#   filename <TAB> expected_title <TAB> expected_year <TAB> expected_episode
#
# expected_year:    a year, or `-` for none
# expected_episode: `-` none | `S01E01` | `S01E01+E02` multi | `S01` season only
#                   | `abs:28` absolute | `date:2024-01-15` date-based
#
# A row whose expectation is genuinely debatable is marked with a trailing `# note:` comment on the
# preceding line. Do not "fix" the parser to satisfy a row without checking the row is right.

# ── Movies: scene naming ─────────────────────────────────────────────────────────────────────────
Blade.Runner.2049.2017.2160p.UHD.BluRay.REMUX.HDR.DV.TrueHD.7.1.Atmos-FraMeSToR.mkv	Blade Runner 2049	2017	-
The.Matrix.1999.1080p.BluRay.x264.DTS-HD.MA.5.1-FGT.mkv	The Matrix	1999	-
Arrival.2016.1080p.BluRay.x264-SPARKS.mkv	Arrival	2016	-
Dune.Part.Two.2024.2160p.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv	Dune Part Two	2024	-
Everything.Everywhere.All.at.Once.2022.1080p.BluRay.x265-RARBG.mp4	Everything Everywhere All at Once	2022	-
Oppenheimer.2023.IMAX.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.5.1-playBD.mkv	Oppenheimer	2023	-
Mad.Max.Fury.Road.2015.EXTENDED.1080p.BluRay.x264-GECKOS.mkv	Mad Max Fury Road	2015	-
Alien.1979.Directors.Cut.1080p.BluRay.DTS.x264-CtrlHD.mkv	Alien	1979	-
Apocalypse.Now.Redux.1979.1080p.BluRay.x264-AMIABLE.mkv	Apocalypse Now Redux	1979	-
Se7en.1995.REMASTERED.1080p.BluRay.x264-Japhson.mkv	Se7en	1995	-
1917.2019.1080p.BluRay.x264-SPARKS.mkv	1917	2019	-
2012.2009.1080p.BluRay.x264-METiS.mkv	2012	2009	-

# ── The year-vs-title trap: a title that looks like a year ───────────────────────────────────────
# note: `2049` must stay in the title. This is what MAX_BARE_YEAR exists for.
Blade.Runner.2049.1080p.BluRay.x264.mkv	Blade Runner 2049	-	-
Blade.Runner.2049.2017.1080p.mkv	Blade Runner 2049	2017	-
Space.1999.1080p.BluRay.mkv	Space	1999	-

# ── Movies: human / Plex-style naming ────────────────────────────────────────────────────────────
Blade Runner (1982).mkv	Blade Runner	1982	-
Blade Runner (1982) - 2160p Remux.mkv	Blade Runner	1982	-
The Godfather (1972) {tmdb-238}.mkv	The Godfather	1972	-
Amelie (2001) [imdb-tt0211915].mkv	Amelie	2001	-
Spirited Away (2001) {tmdb-129} [Bluray-1080p][JPN].mkv	Spirited Away	2001	-
WALL·E (2008) [2160p][HDR].mkv	WALL·E	2008	-
S.W.A.T. (2003) [1080p].mkv	SWAT	2003	-
Léon - The Professional (1994) Extended.mkv	Léon - The Professional	1994	-

# ── Movies: sparse and awkward ───────────────────────────────────────────────────────────────────
Inception.mkv	Inception	-	-
inception 2010.mp4	inception	2010	-
THE.PRESTIGE.2006.DVDRip.XviD-DiAMOND.avi	THE PRESTIGE	2006	-
Interstellar[2014]BRRip.XviD-ETRG.avi	Interstellar	2014	-
Whiplash.2014.720p.BluRay.x264.YIFY.mp4	Whiplash	2014	-
The.Thing.1982.2160p.4K.BluRay.x265.10bit.HDR.AAC.5.1-Tigole.mkv	The Thing	1982	-

# ── Multi-part movies ────────────────────────────────────────────────────────────────────────────
Gone.With.The.Wind.1939.1080p.BluRay.cd1.avi	Gone With The Wind	1939	-
Gone.With.The.Wind.1939.1080p.BluRay.cd2.avi	Gone With The Wind	1939	-
Nymphomaniac.2013.part1.1080p.BluRay.mkv	Nymphomaniac	2013	-

# ── TV: standard SxxEyy ──────────────────────────────────────────────────────────────────────────
Breaking.Bad.S01E01.1080p.BluRay.x265-RARBG.mkv	Breaking Bad	-	S01E01
The.Wire.S03E11.720p.HDTV.x264-CTU.mkv	The Wire	-	S03E11
Severance.S02E05.2160p.ATVP.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv	Severance	-	S02E05
The.Bear.2022.S03E01.1080p.HULU.WEB-DL.DDP5.1.H.264-NTb.mkv	The Bear	2022	S03E01
Chernobyl.S01E01.1.23.45.1080p.AMZN.WEB-DL.mkv	Chernobyl	-	S01E01
Game.of.Thrones.S08E06.The.Iron.Throne.1080p.mkv	Game of Thrones	-	S08E06

# ── TV: separated season and episode markers ─────────────────────────────────────────────────────
Firefly.S01.E01.Serenity.1080p.BluRay.mkv	Firefly	-	S01E01
Twin.Peaks.1x01.720p.mkv	Twin Peaks	-	S01E01
Star.Trek.TNG.3x26.The.Best.of.Both.Worlds.mkv	Star Trek TNG	-	S03E26
Sherlock.Season.2.Episode.3.1080p.mkv	Sherlock	-	S02E03

# ── TV: multi-episode files ──────────────────────────────────────────────────────────────────────
Firefly.S01E01-E02.1080p.BluRay.mkv	Firefly	-	S01E01+E02
The.Sopranos.S01E01E02.DVDRip.avi	The Sopranos	-	S01E01+E02

# ── TV: season packs and folders ─────────────────────────────────────────────────────────────────
Breaking.Bad.S05.1080p.BluRay.x264-DEMAND	Breaking Bad	-	S05
Season 3	-	-	S03
The.Office.US.Season.9.Complete.720p.WEB-DL	The Office US	-	S09

# ── TV: date-based (daily shows) ─────────────────────────────────────────────────────────────────
The.Daily.Show.2024.01.15.1080p.WEB.h264-BAE.mkv	The Daily Show	-	date:2024-01-15
Last.Week.Tonight.With.John.Oliver.S11E04.2024.03.03.1080p.mkv	Last Week Tonight With John Oliver	-	S11E04

# ── TV: compressed 101 form ──────────────────────────────────────────────────────────────────────
Cheers.101.DVDRip.avi	Cheers	-	S01E01
Frasier.1023.720p.HDTV.mkv	Frasier	-	S10E23

# ── Anime: bracketed group, absolute numbering, CRC32 ────────────────────────────────────────────
[SubsPlease] Sousou no Frieren - 28 (1080p) [A1B2C3D4].mkv	Sousou no Frieren	-	abs:28
[Erai-raws] One Piece - 1099 [1080p][Multiple Subtitle].mkv	One Piece	-	abs:1099
[HorribleSubs] Boku no Hero Academia - 08 [720p].mkv	Boku no Hero Academia	-	abs:8
[Judas] Vinland Saga - S02E11 [1080p][HEVC x265 10bit].mkv	Vinland Saga	-	S02E11
[Anime Time] Steins;Gate - 01 [BD][1080p][HEVC 10bit][Dual Audio].mkv	Steins;Gate	-	abs:1
[Cleo]Kaguya-sama_wa_Kokurasetai_-_01_(Dual_Audio_10bit_BD1080p_x265).mkv	Kaguya-sama wa Kokurasetai	-	abs:1

# ── Anime: pinned IDs alongside absolute numbering ───────────────────────────────────────────────
Frieren {anidb-17617} - 28 [1080p].mkv	Frieren	-	abs:28

# ── Foreign titles and accents ───────────────────────────────────────────────────────────────────
Le.Fabuleux.Destin.d.Amelie.Poulain.2001.1080p.BluRay.x264-MELiTE.mkv	Le Fabuleux Destin d Amelie Poulain	2001	-
Das.Boot.1981.Directors.Cut.1080p.BluRay.x264-CiNEFiLE.mkv	Das Boot	1981	-
Y.Tu.Mama.Tambien.2001.1080p.BluRay.mkv	Y Tu Mama Tambien	2001	-
Cidade.de.Deus.2002.1080p.BluRay.x264.mkv	Cidade de Deus	2002	-
Ta.det.som.en.man.2005.DVDRip.avi	Ta det som en man	2005	-

# ── Language-word titles: must not be truncated at the language token ────────────────────────────
# note: `German`, `French`, and `English` are title words here, not language tags.
The.German.Doctor.2013.1080p.BluRay.x264.mkv	The German Doctor	2013	-
French.Kiss.1995.1080p.WEB-DL.mkv	French Kiss	1995	-
The.English.Patient.1996.1080p.BluRay.mkv	The English Patient	1996	-

# ── Roman numerals and sequels ───────────────────────────────────────────────────────────────────
Rocky.II.1979.1080p.BluRay.x264.mkv	Rocky II	1979	-
Star.Wars.Episode.IV.A.New.Hope.1977.1080p.mkv	Star Wars Episode IV A New Hope	1977	-
Apollo.13.1995.1080p.BluRay.mkv	Apollo 13	1995	-

# ── Editions stacked ─────────────────────────────────────────────────────────────────────────────
